subj_id,variable,qualitative,phi_rating,task_type,run,agent,trial,avg_phi,median_phi,sd_phi,min_phi,max_phi,stratum
9,s7_avoid,NA,53,avoid,29,111,54,1.5318957272727272,1.5,0.3770999526792657,0.573957,2.465391,Stratum_7
9,s7_catch,NA,21,catch,68,105,9,1.5768974242424243,1.311668,0.7112837965683523,0.260862,2.39588,Stratum_7
9,s8_avoid,NA,79,avoid,29,40,110,1.8628365454545457,2.083822,0.4843036303445838,0.550069,2.109375,Stratum_8
9,s8_catch,NA,19,catch,68,108,7,1.9178721212121213,1.013888,1.415235414686673,0.138843,3.717856,Stratum_8
9,s9_avoid,NA,34,avoid,68,108,108,2.0700284545454544,1.013888,1.3797572847894546,0.138843,3.717856,Stratum_9
9,s9_catch,NA,18,catch,68,108,13,2.2432330303030303,1.674109,1.3916384667939417,0.138843,3.717856,Stratum_9
9,s10_avoid,NA,16,avoid,90,72,110,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
9,s10_catch,NA,19,catch,90,74,14,2.518748909090909,2.999999,0.6912399671516201,1.493746,2.999999,Stratum_10
10,s1_avoid,Jo flere usystematiske bevægelser des mere bevidst forekommer den blå mig at være,80,avoid,13,76,101,0.2482829393939394,0.215278,0.1646250812638257,0,0.4375,Stratum_1
10,s1_catch,Jo flere usystematiske bevægelser des mere bevidst forekommer den blå mig at være,77,catch,53,21,65,0,0,0,0,0,Stratum_1
10,s2_avoid,Jo flere usystematiske bevægelser des mere bevidst forekommer den blå mig at være,27,avoid,81,105,105,0.3165657272727273,0.215278,0.353378955503001,0,1.752222,Stratum_2
10,s2_catch,Jo flere usystematiske bevægelser des mere bevidst forekommer den blå mig at være,0,catch,91,57,65,0.30492424242424243,0.166667,0.2674475840750192,0,1.5,Stratum_2
